name,en_react,en_prod,en_ts,f_barr,b_barr
Rh_Cat232,-2935.55037479,-2935.55504021,-2935.52514474,15.8320960605,18.7596914318
Rh_Cat233,-1608.04054649,-1608.04260418,-1608.01404024,16.6329236844,17.9241437074
Rh_Cat234,-1765.16130384,-1765.16389572,-1765.13543814,16.2309724743,17.8574017971
Rh_Cat235,-2236.5473354,-2236.55192227,-2236.52207522,15.8510029219,18.7293074221
Rh_Cat236,-1922.27560141,-1922.28077164,-1922.25135548,15.2145514113,18.4589198535
Rh_Cat237,-1908.78747782,-1908.79143563,-1908.76575514,13.6311880655,16.1147514397
Rh_Cat238,-2380.1942074,-2380.20194286,-2380.17329984,13.1196925219,17.9737671589
Rh_Cat239,-2223.0872371,-2223.08692995,-2223.06561001,13.5712044324,13.3784648894
Rh_Cat23,-2305.49512155,-2305.50109057,-2305.46921759,16.2549809877,20.0005977434
Rh_Cat240,-2388.8875691,-2388.89161239,-2388.86289793,15.4813935509,18.0185964372
Rh_Cat241,-2374.3945794,-2374.39209544,-2374.37399159,12.9190463592,11.3603378616
Rh_Cat242,-2832.1929991,-2832.19317316,-2832.17134012,13.5912157104,13.7004400138
Rh_Cat244,-4212.28319495,-4212.28021746,-4212.25853548,15.4740516895,13.6056484287
Rh_Cat245,-2531.53885662,-2531.53873973,-2531.51698789,13.7228358278,13.6494862425
Rh_Cat246,-2531.52154406,-2531.53464878,-2531.50238635,12.0216450232,20.2449813182
Rh_Cat247,-2531.54362277,-2531.53961396,-2531.51765948,16.2922111264,13.7766447677
Rh_Cat248,-3289.93786563,-3289.94983376,-3289.91994428,11.2458173779,18.75593265
Rh_Cat249,-2675.17926773,-2675.18989339,-2675.15850003,13.0319290431,19.6996316369
Rh_Cat24,-1539.11051882,-1539.11057805,-1539.08273347,17.4355710858,17.4727384735
Rh_Cat250,-2832.32924201,-2832.33496324,-2832.30844758,13.0487023721,16.6388285487
Rh_Cat251,-3071.95486577,-3071.9569877,-3071.9344053,12.8391392996,14.1706705327
Rh_Cat252,-2832.32372734,-2832.33997032,-2832.30451729,12.0544888704,22.2471131286
Rh_Cat253,-4513.06802618,-4513.0755297,-4513.04669262,13.3870115689,18.0955416522
Rh_Cat254,-2531.54123402,-2531.54406326,-2531.51878174,14.0890189966,15.8643939742
Rh_Cat255,-2688.6736525,-2688.67472754,-2688.64826824,15.9288643005,16.6034621132
Rh_Cat256,-1922.29209821,-1922.29219936,-1922.26617306,16.2682779139,16.3317504999
Rh_Cat257,-2236.55186844,-2236.55318906,-2236.5260421,16.2062737003,17.0349752963
Rh_Cat258,-2832.18584856,-2832.18621549,-2832.16506516,13.0417809425,13.2720330032
Rh_Cat259,-2832.33529095,-2832.34180157,-2832.31541464,12.4725733498,16.5580492507
Rh_Cat25,-1853.36889666,-1853.37111346,-1853.34220412,16.7498224292,18.1408854888
Rh_Cat260,-2688.6805765,-2688.68253361,-2688.65680219,14.918605381,16.1467104987
Rh_Cat261,-2928.30675786,-2928.3086346,-2928.28322125,14.7694463726,15.9471185517
Rh_Cat262,-1836.93913188,-1836.94191985,-1836.91221875,16.8882447498,18.6377224105
Rh_Cat263,-1994.05969099,-1994.06037961,-1994.03363028,16.3533431018,16.7854586937
Rh_Cat264,-2465.44559896,-2465.45034989,-2465.42044283,15.7857105583,18.766964267
Rh_Cat265,-2151.16621351,-2151.17282523,-2151.14483456,13.4154942249,17.5644113362
Rh_Cat266,-2137.68670456,-2137.69091455,-2137.66489916,13.6830956514,16.3249043711
Rh_Cat267,-2609.09777536,-2609.10270059,-2609.06946431,17.7654528299,20.8560814446
Rh_Cat268,-2451.98609,-2451.98647999,-2451.96469145,13.4277934112,13.6725158413
Rh_Cat269,-2617.78625501,-2617.79037956,-2617.76135611,15.6242962894,18.2124905977
Rh_Cat26,-2449.00655053,-2449.01077046,-2448.98162101,15.6435106305,18.2915567949
Rh_Cat270,-2603.293623,-2603.29507281,-2603.27152127,13.8690455415,14.7788150896
Rh_Cat271,-3061.09405408,-3061.09497511,-3061.06887732,15.7986560794,16.3766111541
Rh_Cat272,-3000.06651426,-3000.06888014,-3000.04406381,14.0878706544,15.5724828303
Rh_Cat273,-4441.17894441,-4441.18237729,-4441.1575899,13.4001578932,15.5543227051
Rh_Cat274,-2760.44251693,-2760.44002486,-2760.41566739,16.8483414204,15.2845438208
Rh_Cat275,-2760.42539648,-2760.42326063,-2760.40246448,14.3900478539,13.0497816884
Rh_Cat276,-2760.4400402,-2760.43940177,-2760.41779641,13.9581895411,13.557568651
Rh_Cat277,-3518.7690231,-3518.77647463,-3518.74947255,12.2681558553,16.9440617197
Rh_Cat278,-2904.07968755,-2904.09105752,-2904.05883467,13.0853803023,20.220144492
Rh_Cat279,-3061.23015158,-3061.2360099,-3061.20861701,13.5131472533,17.1892987075
Rh_Cat27,-2449.15513791,-2449.16178239,-2449.13194803,14.551870004,18.7213443266
Rh_Cat280,-3300.85602466,-3300.86146018,-3300.83215502,14.9784258617,18.3892662991
Rh_Cat281,-3061.22433148,-3061.24164955,-3061.20355408,13.0380158853,23.9052693322
Rh_Cat282,-4741.96892708,-4741.97658402,-4741.94725506,13.599398434,18.4042010248
Rh_Cat283,-2760.43525267,-2760.43737504,-2760.41141839,14.9562371256,16.2880444631
Rh_Cat284,-2917.57288434,-2917.58787089,-2917.55019801,14.2358875954,23.6400900925
Rh_Cat285,-2151.19003214,-2151.19067175,-2151.16400458,16.3325411617,16.7339025132
Rh_Cat286,-2465.45122946,-2465.45290181,-2465.42532603,16.2546484074,17.3040639199
Rh_Cat287,-3061.08454699,-3061.08499146,-3061.06346069,13.23185357,13.5107627173
Rh_Cat288,-3061.23392256,-3061.23593216,-3061.21288187,13.2032328616,14.464275953
Rh_Cat289,-2917.58010107,-2917.5859002,-2917.55577894,15.2623676354,18.9013768021
Rh_Cat28,-2305.50168876,-2305.50590997,-2305.4767323,15.6604157363,18.3092651129
Rh_Cat290,-3157.20613179,-3157.20822674,-3157.18236305,14.9151101533,16.2297111802
Rh_Cat291,-1806.42662906,-1806.42844238,-1806.40027035,16.5403409328,17.6782164593
Rh_Cat292,-1963.54976933,-1963.55138146,-1963.52432523,15.9664144689,16.9780413592
Rh_Cat293,-2434.93193656,-2434.93694305,-2434.9067649,15.7954557808,18.9370758176
Rh_Cat294,-2120.66097651,-2120.66586907,-2120.63666135,15.2579938942,18.3281217734
Rh_Cat295,-2107.17264506,-2107.17651041,-2107.15198404,12.9649863296,15.3905301754
Rh_Cat296,-2578.58060442,-2578.58845803,-2578.55971681,13.1071737073,18.0353885916
Rh_Cat297,-2421.47120119,-2421.47358922,-2421.45169471,12.2405015116,13.7390130229
Rh_Cat298,-2587.27303591,-2587.2769682,-2587.24824693,15.5553204455,18.0228697771
Rh_Cat299,-2572.78480136,-2572.78108429,-2572.75937751,15.9537074017,13.6212106644
Rh_Cat29,-2545.12786409,-2545.13149159,-2545.10082824,16.9652527157,19.2415434271
Rh_Cat2,-1381.98182541,-1381.98188558,-1381.95365122,17.6795718799,17.7173291264
Rh_Cat300,-3030.58333061,-3030.58100243,-3030.5604145,14.3800767278,12.9191216601
Rh_Cat301,-2969.55624532,-2969.55284392,-2969.53126134,15.6776847977,13.5432739846
Rh_Cat302,-4410.66861869,-4410.66498599,-4410.64353493,15.7402976955,13.460743935
Rh_Cat303,-2729.9230525,-2729.92646501,-2729.90178873,13.3432176806,15.4846001245
Rh_Cat304,-2729.90770686,-2729.91552566,-2729.88833142,12.1582726665,17.0646439453
Rh_Cat305,-2729.85182731,-2729.84847955,-2729.8294705,14.0291106647,11.928359461
Rh_Cat306,-3488.25443205,-3488.26208204,-3488.23546427,11.9024621439,16.7029035438
Rh_Cat307,-2873.56528648,-2873.57614334,-2873.54451097,13.0368298924,19.8496126825
Rh_Cat308,-3030.70445891,-3030.71125097,-3030.68275817,13.6174205071,17.8795026817
Rh_Cat309,-3270.34119873,-3270.3429565,-3270.32065541,12.8911284615,13.9941458353
Rh_Cat30,-1303.41932847,-1303.4200076,-1303.39234774,16.9306643919,17.3568249186
Rh_Cat310,-3030.7100129,-3030.72580467,-3030.6910842,11.8779390725,21.7874247693
Rh_Cat311,-4711.45378197,-4711.46108048,-4711.43231076,13.4733882513,18.0532726124
Rh_Cat312,-2729.92214842,-2729.92301768,-2729.89773641,15.3187681892,15.8642370971
Rh_Cat313,-2887.05365323,-2887.06062403,-2887.03179421,13.7167427105,18.0909859332
Rh_Cat314,-2120.67703177,-2120.67734799,-2120.65112087,16.2593359038,16.4577669576
Rh_Cat315,-2434.93695254,-2434.93820507,-2434.91117209,16.1774772894,16.9634517633
Rh_Cat316,-3030.57302753,-3030.57339367,-3030.55209158,13.1375075168,13.3672638449
Rh_Cat318,-2887.074183,-2887.08433837,-2887.05400633,12.6610521035,19.0336432543
Rh_Cat319,-3126.69147278,-3126.69304896,-3126.66778966,14.8613827896,15.8504507134
Rh_Cat31,-1460.5378393,-1460.53978716,-1460.51221673,16.0784060894,17.3007067441
Rh_Cat320,-2526.98392998,-2526.98537001,-2526.95755885,16.5481346007,17.4517671061
Rh_Cat321,-2684.10734834,-2684.10543202,-2684.08193234,15.948781452,14.746272447
Rh_Cat322,-3155.48966577,-3155.49373807,-3155.46472922,15.6479220222,18.2033289588
Rh_Cat323,-2841.21832801,-2841.22306661,-2841.19421545,15.1308604694,18.1043769861
Rh_Cat324,-2827.72953536,-2827.73313425,-2827.70796614,13.5348904578,15.7932281222
Rh_Cat325,-3299.13823927,-3299.14683852,-3299.11888746,12.1434446172,17.539555685
Rh_Cat326,-3142.02716643,-3142.02935457,-3142.00773215,12.1951953257,13.5682739632
Rh_Cat327,-3307.83074626,-3307.83415407,-3307.80625345,15.3694709567,17.5079041058
Rh_Cat328,-3293.34273104,-3293.33630701,-3293.31567331,16.9789826236,12.9478427701
Rh_Cat329,-3751.14103163,-3751.13818567,-3751.1177237,14.6259475001,12.8400805636
Rh_Cat32,-1931.92333484,-1931.92511425,-1931.89681714,16.6401086682,17.7567053476
Rh_Cat330,-3690.11418333,-3690.10808044,-3690.08777139,16.5737432634,12.7441218109
Rh_Cat331,-5131.22107038,-5131.22030171,-5131.19962181,13.4591814363,12.9768337089
Rh_Cat332,-3450.48169797,-3450.48399049,-3450.46028117,13.4392454595,14.8778235384
Rh_Cat333,-3450.4676536,-3450.46200893,-3450.44666115,13.1729618033,9.63087775388
Rh_Cat334,-3450.48386389,-3450.48424134,-3450.46209997,13.6570665572,13.8939200181
Rh_Cat335,-4208.88453985,-4208.89846027,-4208.86636144,11.4071249696,20.1423207639
Rh_Cat336,-3594.13079218,-3594.14313492,-3594.10062627,18.9293951012,26.6745817074
Rh_Cat337,-3751.26034415,-3751.26677093,-3751.23880842,13.5138751644,17.5467406687
Rh_Cat338,-3990.8964853,-3990.89824942,-3990.87612267,12.7777437702,13.8847458292
Rh_Cat339,-3751.26568416,-3751.28133839,-3751.24668142,11.924399876,21.7475779162
Rh_Cat33,-1617.64993598,-1617.6502482,-1617.62598923,15.0268131192,15.2227341353
Rh_Cat340,-5432.01109462,-5432.01309761,-5431.99080192,12.7338620307,13.9907572839
Rh_Cat341,-3450.47975452,-3450.48681691,-3450.45516366,15.4309982632,19.8627150809
Rh_Cat342,-3607.61303287,-3607.617078,-3607.5910379,13.8020526272,16.340410131
Rh_Cat343,-2841.23403475,-2841.2341005,-2841.20831664,16.1383583471,16.1796170967
Rh_Cat344,-3155.48513754,-3155.4957629,-3155.46934681,9.90883308689,16.5763474279
Rh_Cat345,-3751.12443801,-3751.13169624,-3751.10705584,10.9074768056,15.4620850838
Rh_Cat346,-3751.27527919,-3751.27727035,-3751.25484118,12.8250454363,14.0745172522
Rh_Cat347,-3607.62320894,-3607.628565,-3607.59998521,14.5731112005,17.9340897331
Rh_Cat348,-3847.2490329,-3847.25628562,-3847.22522244,14.9412898495,19.4924405504
Rh_Cat349,-1686.61219139,-1686.6142442,-1686.58556131,16.7106281857,17.9987859625
Rh_Cat34,-1604.1677934,-1604.17230494,-1604.14383423,15.0346067871,17.8656409967
Rh_Cat350,-1843.73332983,-1843.73328215,-1843.70740183,16.270066316,16.240146663
Rh_Cat351,-2315.11924246,-2315.12335568,-2315.09405263,15.8068576283,18.3879422538
Rh_Cat352,-2000.83988076,-2000.84633913,-2000.81851754,13.4056235006,17.4583120301
Rh_Cat353,-1987.35799874,-1987.36225081,-1987.33728286,12.9994115009,15.6676258205
Rh_Cat354,-2458.76976686,-2458.77866055,-2458.74095937,18.0769736461,23.6578486113
Rh_Cat355,-2301.65912852,-2301.65891218,-2301.63741507,13.625396153,13.4896407475
Rh_Cat356,-2467.45977848,-2467.46372542,-2467.43500333,15.5466419887,18.0233843348
Rh_Cat357,-2452.97189952,-2452.96756511,-2452.9443486,17.2884640338,14.5685805819
Rh_Cat358,-2910.76442127,-2910.76785714,-2910.74273712,13.6070101245,15.7630511902
Rh_Cat359,-2849.73906216,-2849.74082538,-2849.71735702,13.6201815488,14.7266188495
Rh_Cat35,-2075.57113858,-2075.57813189,-2075.54696958,15.1662771054,19.5546455667
Rh_Cat360,-4290.85196267,-4290.85376983,-4290.8304482,13.5005343122,14.6345443801
Rh_Cat361,-2610.11551334,-2610.11206112,-2610.08858807,16.8958627151,14.7295618691
Rh_Cat362,-2610.09750752,-2610.10321537,-2610.0804186,10.7234596447,14.3051897442
Rh_Cat363,-2610.11595014,-2610.11257457,-2610.09017571,16.1736996822,14.0554974392
Rh_Cat364,-3368.43830433,-3368.44636466,-3368.41927042,11.9439593471,17.0018929954
Rh_Cat365,-2753.75173805,-2753.76269975,-2753.7309343,13.0545507604,19.9331216468
Rh_Cat366,-2910.89990206,-2910.90758206,-2910.87844123,13.4668747028,18.2861476629
Rh_Cat367,-3150.52749472,-3150.5296553,-3150.50700164,12.8596023843,14.2153868597
Rh_Cat368,-2910.89619691,-2910.9124787,-2910.87685764,12.1355756482,22.3525535502
Rh_Cat369,-4591.64073298,-4591.64840464,-4591.61918494,13.5215998065,18.3356393371
Rh_Cat36,-1918.46724859,-1918.46916824,-1918.44363038,14.820651148,16.0252497597
Rh_Cat370,-2610.10828907,-2610.11015686,-2610.08465697,14.8293672548,16.0014232239
Rh_Cat371,-2767.24609613,-2767.24712107,-2767.22022053,16.2371848181,16.8803444052
Rh_Cat372,-2000.86354144,-2000.8640049,-2000.83751424,16.3323152584,16.6231408113
Rh_Cat373,-2315.12429522,-2315.12554741,-2315.09837707,16.2638853475,17.0496464682
Rh_Cat374,-2910.75803153,-2910.75851601,-2910.73701621,13.1873129456,13.4913287482
Rh_Cat375,-2910.90372325,-2910.9113261,-2910.88270355,13.1900614372,17.9609220395
Rh_Cat376,-2767.25300514,-2767.25508453,-2767.22908793,15.0082764885,16.3131134679
Rh_Cat377,-3006.87919954,-3006.88109321,-3006.85549485,14.8749181697,16.0632140844
