,mol,Eafw,Earev,dErxn,ETS,ERt,EPr,enan,HRt,HPr,HTS,Hafw,dH
13,1aMebp4,9.332948407,23.12184159,-13.78889318,-1503208.800320135,-1503218.133261492,-1503231.9221442582,S,-1502972.0894926281,-1502984.2142215262,-1502962.727058348,9.362434280104935,-12.124728898052126
14,1aMebp5,9.594619857,18.87611249,-9.28149263,-1503209.7384460901,-1503219.3330587,-1503228.614544319,S,-1502973.0665241408,-1502981.1111895212,-1502963.61686611,9.44965803087689,-8.044665380381048
15,1abp1,8.962717817,18.57679047,-9.614072651,-1453883.0267864882,-1453891.989497535,-1453901.603562924,S,-1453680.4944916843,-1453688.994101089,-1453671.9133061091,8.581185575108975,-8.49960940470919
16,1abp2,7.294170126,20.23592552,-12.94175539,-1453883.7703846532,-1453891.0645492692,-1453904.006294885,S,-1453679.8682377022,-1453691.326552042,-1453672.6079585718,7.2602791304234415,-11.458314339863136
17,1abp3,9.641055559,20.6456892,-11.00463365,-1453883.47106286,-1453893.112111136,-1453904.1167364689,S,-1453681.69554391,-1453691.3717326901,-1453671.9810770808,9.714466829085723,-9.676188780227676
18,1abp4,9.870724026,22.68258496,-12.81186093,-1453880.044236211,-1453889.914952781,-1453902.7268040343,S,-1453678.524113424,-1453689.988702854,-1453668.930755832,9.593357591889799,-11.46458943001926
19,1abp5,9.474765547999999,15.10101549,-5.626249944,-1453880.9384365361,-1453890.4131949272,-1453896.0394406212,S,-1453679.1076967942,-1453683.4877096142,-1453669.740242442,9.367454352090135,-4.380012820009142
20,1bbp1,8.734304369,17.80746385,-9.073159485,-1578409.497077896,-1578418.231375667,-1578427.304528298,R,-1578216.718155479,-1578224.6479867122,-1578208.121909688,8.596245791064575,-7.929831233108416
21,1bbp2,7.106544792999999,16.48843894,-9.381894146,-1578411.016904694,-1578418.123444119,-1578427.505331178,R,-1578216.609596422,-1578224.6304164599,-1578209.444071151,7.1655252708587795,-8.020820037927479
22,1bbp3,12.58909507,20.83958963,-8.250494564,-1578403.989431403,-1578416.578516961,-1578424.829005293,R,-1578215.070944354,-1578222.020606529,-1578202.707134527,12.363809827016667,-6.949662175029516
23,1bbp4,9.861311384,20.38527277,-10.52396139,-1578405.452782391,-1578415.314086326,-1578425.8380397651,R,-1578213.7732557422,-1578223.037171109,-1578204.1391100653,9.63414567685686,-9.263915366958827
24,1bbp5,10.07654713,21.59134598,-11.51479885,-1578407.500971767,-1578417.5775112892,-1578429.092301439,R,-1578216.088763952,-1578226.1954239062,-1578206.274523192,9.814240759937093,-10.106659954180941
25,1bbp1,8.7562672,9.574539554,-0.8182723540000001,-1578409.261134512,-1578418.017395098,-1578418.8356668344,S,-1578216.6277941833,-1578216.297724449,-1578207.981975181,8.645819002296776,0.330069734249264
26,1bbp2,7.220751517,18.24483796,-11.02408644,-1578409.5962243178,-1578416.816970381,-1578427.841048493,S,-1578215.566048955,-1578225.030139693,-1578208.1055944539,7.460454501211643,-9.46409073797986
27,1bbp3,8.228531732999999,18.62573621,-10.39720447,-1578409.597479336,-1578417.826004853,-1578428.223201474,S,-1578216.305254557,-1578225.30185109,-1578208.1081044902,8.197150066727772,-8.99659653310664
28,1bbp4,9.644193106,21.11004621,-11.46585311,-1578405.49733553,-1578415.1415213512,-1578426.607365799,S,-1578213.741252783,-1578223.6973105771,-1578204.138482556,9.602770227007568,-9.956057794159278
29,1bbp5,9.67494107,13.58809015,-3.91314908,-1578406.445501629,-1578416.1204353909,-1578420.033581515,S,-1578214.6310605449,-1578217.184394666,-1578205.0552732048,9.575787340058014,-2.5533341211266816
30,1cbp1,8.436864878,17.48241395,-9.045549068,-2030717.0116389461,-2030725.4484974511,-2030734.494039686,R,-2030525.652769396,-2030533.555617742,-2030517.252933922,8.39983547409065,-7.9028483459260315
31,1cbp2,6.994220597000001,16.16213401,-9.167913415,-2030718.391531237,-2030725.385746551,-2030734.553653041,R,-2030525.972798986,-2030533.411290672,-2030518.367389906,7.605409079929814,-7.4384916860144585
32,1cbp3,6.328433045,19.66551941,-13.33708636,-2030711.308209645,-2030717.63663791,-2030730.9737141961,R,-2030518.3548397261,-2030530.2166423532,-2030511.676261439,6.678578287130222,-11.861802627099678
33,1cbp4,9.332948407,20.72789295,-11.39494454,-2030712.6975145712,-2030722.0304559283,-2030733.4253918591,R,-2030522.219667657,-2030532.340760318,-2030512.998422902,9.221244754968211,-10.12109266105108
34,1cbp5,10.14306314,21.78148135,-11.63841821,-2030714.807827338,-2030724.9508828141,-2030736.5892922368,R,-2030525.190922772,-2030535.2963277083,-2030515.0240219538,10.166900818236172,-10.105404936242849
35,1cbp1,8.914399588,12.79868323,-3.884283644,-2030716.716082207,-2030725.6304750608,-2030729.5147557713,S,-2030525.6320615988,-2030528.581353899,-2030517.0013028132,8.630758785642684,-2.9492923002690077
36,1cbp2,6.90699678,18.42367816,-11.51668138,-2030716.9011973622,-2030723.8081889248,-2030735.3248616022,S,-2030523.9942631093,-2030534.254662768,-2030517.2140283643,6.780234745005146,-10.260399658698589
37,1cbp3,8.248612036,19.93158342,-11.68297139,-2030716.660861415,-2030724.90946722,-2030736.592429782,S,-2030525.1331919439,-2030535.5052882049,-2030516.772889537,8.36030240682885,-10.372096261009574
38,1cbp4,9.68749126,20.80068404,-11.11319278,-2030713.1806965012,-2030722.868180443,-2030733.9813648332,S,-2030523.0944152032,-2030532.955719138,-2030513.475329742,9.619085461134091,-9.861303934827447
39,1cbp5,12.30044071,22.26278112,-9.962340409,-2030710.974374857,-2030723.274806275,-2030733.237139159,S,-2030523.5110811791,-2030531.8839337658,-2030511.4742035407,12.03687763842754,-8.372852586675435
40,1dbp1,8.329560758,11.50036613,-3.170805372,-1503218.9973413849,-1503227.3268958512,-1503230.4976988283,R,-1502981.3609381032,-1502983.298058386,-1502973.051463925,8.30947417812422,-1.9371202827896923
41,1dbp2,7.375746357000001,18.24546547,-10.86971911,-1503219.949900047,-1503227.3256408332,-1503238.195351731,R,-1502981.145702516,-1502990.8149886967,-1502973.850282882,7.295419633854181,-9.66928618075326
42,1dbp3,6.85993357,22.6719173,-15.81198373,-1503213.191000608,-1503220.0509289962,-1503235.8629007782,R,-1502974.3974707301,-1502988.398451538,-1502967.364977367,7.032493363134563,-14.000980807933956
43,1dbp4,8.657748213,22.84008983,-14.18234162,-1503214.8080913012,-1503223.4658329738,-1503237.648163883,R,-1502977.2821296032,-1502990.23579789,-1502968.791305324,8.490824279142544,-12.953668286791071
44,1dbp5,10.17443861,22.79679168,-12.62235307,-1503216.774704507,-1503226.949135433,-1503239.5714789678,R,-1502980.8664610109,-1502992.1704081371,-1502970.659399617,10.207061393884942,-11.303947126260027
45,1dbp1,8.945775061,11.93146514,-2.9856900769999997,-1503218.315866611,-1503227.2616349151,-1503230.247322737,S,-1502981.219121069,-1502983.0420347142,-1502972.396344529,8.8227765399497,-1.8229136453010142
46,1dbp2,7.0061432770000005,19.07754303,-12.07139975,-1503219.2521100391,-1503226.2582480242,-1503238.3296386572,S,-1502980.29605533,-1502990.9392354789,-1502973.161278,7.134777329862118,-10.643180148908868
47,1dbp3,8.605664926000001,21.60703372,-13.00136879,-1503218.822893883,-1503227.4285523093,-1503240.42991128,S,-1502981.465732106,-1502992.838077713,-1502972.6931562861,8.77257581986487,-11.372345607029274
48,1dbp4,9.250744666000001,21.27759124,-12.02684658,-1503215.9664729151,-1503225.2172105932,-1503237.2440480872,S,-1502979.2430952282,-1502989.928945989,-1502970.023733,9.219362228177488,-10.685850760899484
49,1dbp5,12.53073669,23.26052118,-10.729784500000001,-1503212.4172820111,-1503224.948009232,-1503235.6777856231,S,-1502978.859687229,-1502988.260399558,-1502966.301977121,12.557710107881576,-9.400712329195812
50,1ebp1,8.540403941000001,24.16287981,-15.62247586,-1876819.282302494,-1876827.8226999843,-1876843.4451640479,R,-1876609.6974340393,-1876624.078057792,-1876601.120641027,8.576793012209237,-14.380623752716929
51,1ebp2,7.1441953620000005,25.56975605,-18.42556069,-1876820.58375616,-1876827.727946125,-1876846.153492892,R,-1876609.613975342,-1876626.530990473,-1876602.3166731813,7.297302160644904,-16.917015131097287
52,1ebp3,6.684858426,23.73115329,-17.04629486,-1876812.801389542,-1876819.4862429192,-1876836.5325249038,R,-1876601.911302367,-1876617.1020402391,-1876595.014978457,6.896323909983039,-15.190737872151658
53,1ebp4,9.821150777,20.73103049,-10.90987971,-1876815.228594354,-1876825.049737713,-1876835.959609187,R,-1876606.8792911202,-1876616.477668784,-1876597.029282347,9.850008773151785,-9.598377663874999
54,1ebp5,12.50563631,23.84661503,-11.34097872,-1876814.427265361,-1876826.932892222,-1876838.273862379,R,-1876608.6695742968,-1876618.5911190961,-1876596.559905615,12.109668681863695,-9.92154479934834
55,1ebp1,9.145950584,22.18936251,-13.04341193,-1876819.0488691463,-1876828.194812821,-1876841.2382148951,S,-1876610.0149535933,-1876622.117092167,-1876601.015847024,8.999106569215655,-12.10213857376948
56,1ebp2,6.800947679,27.88338348,-21.082435800000003,-1876818.7941004918,-1876825.5950430343,-1876846.677462907,S,-1876607.5494707322,-1876627.178579761,-1876600.628673971,6.920796761289239,-19.629109028726816
57,1ebp3,8.810860524,22.79051659,-13.97965606,-1876817.8120489072,-1876826.622902776,-1876840.602548278,S,-1876608.6764768963,-1876620.7384548942,-1876599.735101155,8.94137574126944,-12.06197799788788
58,1ebp4,9.930964936,20.75738589,-10.82642095,-1876815.691695996,-1876825.6226534299,-1876836.4490662073,S,-1876607.5111926831,-1876616.9583406781,-1876597.5614099791,9.949782704003155,-9.447147995000705
59,1ebp5,18.82779426,13.53600686,5.291787394,-1876811.2338720597,-1876830.0616520962,-1876824.769868699,S,-1876612.090753365,-1876605.299223458,-1876593.2246952802,18.866058084880933,6.791529907146469
60,1fbp1,8.322658153999999,12.11093285,-3.7882746939999996,-1601864.207822797,-1601872.5304746642,-1601876.318746497,R,-1601555.1339124283,-1601557.986568342,-1601546.845773556,8.288138872245327,-2.852655913680792
61,1fbp3,14.01103154,22.03499518,-8.023963644,-1601858.7999502348,-1601872.8109711872,-1601880.83492877,R,-1601555.455197036,-1601561.9712504921,-1601541.682001995,13.77319504111074,-6.516053456114605
62,1fbp4,8.441257444,22.3474949,-13.90623745,-1601860.5632505252,-1601869.0045015928,-1601882.9107285421,R,-1601551.408391495,-1601564.069640588,-1601543.2106139192,8.197777575813234,-12.661249093012884
63,1fbp5,9.438369998999999,21.17154214,-11.73317214,-1601863.3205250711,-1601872.75888794,-1601884.492051222,R,-1601555.3755033931,-1601565.550561828,-1601546.040679509,9.33482388406992,-10.175058434950188
64,1fbp1,9.377501579,14.76529792,-5.387796344,-1601863.222633667,-1601872.6001281631,-1601877.987920437,S,-1601555.083711708,-1601559.406621209,-1601545.910157637,9.173554070992395,-4.322909501148388
65,1fbp3,8.281870038,20.71722528,-12.43535525,-1601864.528479896,-1601872.810343678,-1601885.245689531,S,-1601555.4765323421,-1601566.4416246081,-1601547.107444809,8.369087533093989,-10.965092265978456
66,1fbp4,9.045549068,21.48153182,-12.43598276,-1601861.3846598058,-1601870.430202041,-1601882.8661754031,S,-1601552.9420234908,-1601563.9447662968,-1601543.904638873,9.037384617840871,-11.002742805983871
67,1fbp5,13.73367235,23.91438605,-10.18071371,-1601856.9582113202,-1601870.691873294,-1601880.87257931,S,-1601553.0970182142,-1601562.1670333003,-1601539.692798465,13.404219749150798,-9.070015086093917
68,1gbp1,8.378506497,15.94815328,-7.569646785,-1651170.7124375808,-1651179.0909377488,-1651186.660578816,R,-1650826.897118936,-1650832.9632484391,-1650818.7426394809,8.154479455202818,-6.066129503073171
69,1gbp2,8.389801667,21.31273177,-12.92293011,-1651170.4695915978,-1651178.8593869281,-1651191.782307274,R,-1650826.494258158,-1650837.8032253562,-1650817.9839811,8.510277057997882,-11.308967198245227
70,1gbp3,14.1013929,28.10740436,-14.00601146,-1651162.940111107,-1651177.041493355,-1651191.047494235,R,-1650824.729075341,-1650836.826193843,-1650810.8498312791,13.879244061885402,-12.09711850201711
71,1gbp4,9.354911238,25.92304388,-16.56813264,-1651166.23265083,-1651175.5875550022,-1651192.155675129,R,-1650823.213641106,-1650838.162788013,-1650813.5399623618,9.67367874411866,-14.949146907078102
72,1gbp5,10.00563856,25.48441476,-15.478776199999999,-1651167.6828241288,-1651177.6884551342,-1651193.167219637,R,-1650825.271870626,-1650838.8888159262,-1650815.369778606,9.902092019794509,-13.616945300251245
73,1gbp1,9.612817632,17.56650022,-7.953682582999999,-1651169.4938151033,-1651179.106625474,-1651187.060302049,S,-1650826.6272900659,-1650833.2606877051,-1650817.040835073,9.586454992881045,-6.633397639263421
74,1gbp2,6.917664441,21.97412676,-15.05646232,-1651170.7005149098,-1651177.6181741261,-1651192.674625072,S,-1650825.308266148,-1650838.560628719,-1650818.226199574,7.082066573901102,-13.252362570958212
75,1gbp3,9.017311142,27.82063253,-18.80332139,-1651168.4013219343,-1651177.4186262642,-1651196.221933449,S,-1650825.226689978,-1650841.971767643,-1650816.1303195143,9.09637046372518,-16.7450776649639
76,1gbp4,9.145950583,24.22751328,-15.081562699999997,-1651168.0342291691,-1651177.1801728439,-1651192.26172415,S,-1650825.0070618282,-1650838.241226638,-1650815.579366612,9.427695216145366,-13.234164809808135
77,1gbp5,8.152603086000001,28.57489892,-20.42229583,-1651161.285997383,-1651169.4385943108,-1651189.860874716,S,-1650817.398515203,-1650835.7726062322,-1650809.3733026022,8.025212600827217,-18.374091029167175
78,1hbp1,8.209078939,11.18786641,-2.978787473,-1549400.529726493,-1549408.738799231,-1549411.717584454,R,-1549186.006989717,-1549187.7244818502,-1549177.85376528,8.153224437031895,-1.717492133146152
79,1hbp2,6.961590105,17.14669638,-10.18510627,-1549401.716973521,-1549408.678558367,-1549418.8636569462,R,-1549186.0201674062,-1549194.67728157,-1549178.879114986,7.1410524202510715,-8.657114163739607
80,1hbp3,12.724009599999999,22.3010592,-9.577049592,-1549394.6932652842,-1549407.417265277,-1549416.994307635,R,-1549184.651570277,-1549192.7847144261,-1549172.2570125093,12.394557767780498,-8.133144149091095
81,1hbp4,9.128380318,20.99960455,-11.87122423,-1549397.0388939262,-1549406.167267349,-1549418.0384826108,R,-1549183.403454876,-1549193.8928953202,-1549174.386778055,9.01667682104744,-10.48944044415839
82,1hbp5,10.10227502,22.26027108,-12.15799606,-1549398.468986937,-1549408.5712543284,-1549420.7292412033,R,-1549185.680057528,-1549196.567966187,-1549175.678819086,10.001238442026079,-10.88790865894407
83,1hbp1,8.500243335,13.13942088,-4.6391775410000005,-1549400.5749071408,-1549409.0751440548,-1549413.7143180917,S,-1549186.1475517333,-1549189.665367187,-1549177.877610622,8.26994111132808,-3.5178154536988586
84,1hbp2,6.938999764,19.46973645,-12.53073669,-1549400.0766649952,-1549407.015659517,-1549419.546386738,S,-1549184.349738448,-1549195.525046229,-1549177.4734948261,6.876243621809408,-11.175307780969888
85,1hbp3,8.191508674,20.94940379,-12.75789512,-1549399.789265873,-1549407.980768359,-1549420.738653838,S,-1549185.285981876,-1549196.906821047,-1549176.98780286,8.298179015982896,-11.620839170878753
86,1hbp4,9.451547697,21.71433784,-12.26279014,-1549396.342358936,-1549405.793899494,-1549418.056680372,S,-1549183.0520498361,-1549193.950626148,-1549173.629374692,9.422675144160166,-10.898576311767101
87,1hbp5,12.08206741,20.12485634,-8.042788928,-1549395.100518625,-1549407.1825769108,-1549415.225359764,S,-1549184.4532774333,-1549191.584289709,-1549172.479150695,11.974126738263294,-7.13101227581501
88,1ibp1,9.183601152,17.85766461,-8.674063459,-1569587.3844424179,-1569596.5680366333,-1569605.24209354,R,-1569386.5338717343,-1569394.3476138022,-1569377.6772097081,8.856662026140839,-7.813742067897692
89,1ibp2,6.683603408,22.80306678,-16.11946337,-1569588.830223154,-1569595.513821513,-1569611.633272705,R,-1569385.642181445,-1569400.371700202,-1569378.9849384641,6.657242980785668,-14.729518757201731
90,1ibp3,12.4391203,20.08093068,-7.641810375,-1569581.573081569,-1569594.012192476,-1569601.653997078,R,-1569384.099136814,-1569390.914512063,-1569371.759799838,12.339336975943297,-6.815375248901546
91,1ibp4,10.17945869,26.63087457,-16.45141588,-1569582.220670857,-1569592.400121855,-1569608.851525308,R,-1569382.619470592,-1569397.652703705,-1569372.627644785,9.99182580690831,-15.033233113121241
92,1ibp5,10.70531163,20.19074484,-9.485433209,-1569585.3469206952,-1569596.052224235,-1569605.537650279,R,-1569386.110930668,-1569394.195756624,-1569375.5681519592,10.542778708739206,-8.084825956029817
93,1ibp1,8.919419663,16.86431711,-7.94489745,-1569587.4220929581,-1569596.341505884,-1569604.2863973333,S,-1569386.505633829,-1569393.33857933,-1569377.627636497,8.877997332019731,-6.8329455009661615
94,1ibp2,7.127880115,25.49445491,-18.36657479,-1569586.9721690048,-1569594.100043736,-1569612.466604657,S,-1569384.1374148629,-1569401.1993845731,-1569377.2548961511,6.8825187117327005,-17.06196971028112
95,1ibp3,8.429962274,19.70881756,-11.27885529,-1569586.589388515,-1569595.019344421,-1569606.298191187,S,-1569385.1037787232,-1569394.9569250408,-1569376.619857043,8.48392168013379,-9.85314631764777
96,1ibp4,10.25350481,29.19299575,-18.93949094,-1569582.706990332,-1569592.960487392,-1569611.89996403,S,-1569383.011663717,-1569400.4507663362,-1569372.962734591,10.048929126001894,-17.439102619187906
97,1ibp5,14.0618598,25.50261253,-11.44075273,-1569582.668084774,-1569596.729933955,-1569608.1706780428,S,-1569386.965597926,-1569396.990054201,-1569372.961479573,14.004118352895603,-10.024456275161356
98,1jbp1,8.360308722000001,11.86432162,-3.504012903,-1743739.421947241,-1743747.782249648,-1743751.2862599038,R,-1743434.996623544,-1743437.3617049651,-1743426.854694269,8.141929275123402,-2.365081421099603
99,1jbp2,6.48907547,17.24396035,-10.75488487,-1743740.4868300143,-1743746.975900583,-1743757.7307773342,R,-1743434.1645466099,-1743443.505645584,-1743427.813528021,6.351018588757142,-9.341098974226043
100,1jbp3,12.56775975,21.83293713,-9.265177384,-1743732.84628043,-1743745.414030682,-1743754.679201067,R,-1743432.605814254,-1743440.366218057,-1743420.218159085,12.387655169004574,-7.760403803084046
101,1jbp4,12.01743394,25.93245652,-13.91502259,-1743729.540563018,-1743741.5579878772,-1743755.472999952,R,-1743428.83072011,-1743441.4166681229,-1743417.3196950143,11.511025095824152,-12.585948012769222
102,1jbp5,9.733926961,23.15949216,-13.4255652,-1743736.424336748,-1743746.158256356,-1743759.5838114112,R,-1743433.269718776,-1743445.2269027713,-1743423.747269701,9.522449075011536,-11.95718399528414
103,1jbp1,8.357798684,11.86181159,-3.504012903,-1743740.134169956,-1743748.4919623272,-1743751.995972583,S,-1743435.772224668,-1743437.8116289182,-1743427.646610627,8.12561404099688,-2.039404250215739
104,1jbp2,6.684230917000001,18.73617787,-12.05194696,-1743738.214619925,-1743744.898845793,-1743756.950783647,S,-1743432.3529281272,-1743442.791540342,-1743425.713255398,6.639672729186714,-10.438612214755267
105,1jbp3,7.5043858,19.0756605,-11.571274699999998,-1743738.673956513,-1743746.1783366438,-1743757.7496026042,S,-1743433.5665305331,-1743443.9166639792,-1743425.977436687,7.589093846036121,-10.35013344604522
106,1jbp4,11.24873483,22.46170162,-11.21296679,-1743734.130163844,-1743745.3788901782,-1743756.591848499,S,-1743432.5135704312,-1743442.7350645321,-1743421.4355265452,11.078043885994703,-10.221494100987911
107,1jbp5,9.203681455,21.83293713,-12.62925567,-1743734.391835097,-1743743.5955096001,-1743756.2247557342,S,-1743430.718894691,-1743442.2223896792,-1743421.832739742,8.886154948966578,-11.503494988195598
108,2abp1,8.604409907,18.32202162,-9.717611714,-1743738.6946643097,-1743747.299067718,-1743757.016672092,R,-1743434.092383075,-1743442.6854913211,-1743425.7596910642,8.332692010793835,-8.59310824610293
109,2abp2,7.083954452,19.96233139,-12.87837693,-1743741.29882666,-1743748.382775761,-1743761.261142968,R,-1743435.5601266262,-1743446.737944443,-1743428.433506913,7.126619713148102,-11.177817816846073
110,2abp3,12.41590245,23.23165575,-10.81575329,-1743734.307748891,-1743746.723641965,-1743757.539387089,R,-1743433.7278003462,-1743443.0538391038,-1743421.497649936,12.230150410206988,-9.32603875757195
111,2abp4,9.123360242,24.05871323,-14.93535299,-1743735.019344097,-1743744.142697448,-1743759.0780391572,R,-1743431.041434317,-1743444.797059106,-1743422.1483767692,8.893057547742501,-13.755624789046124
112,2abp5,10.37084908,23.8378299,-13.46698082,-1743736.996624956,-1743747.3674661992,-1743760.834436848,R,-1743434.162664083,-1743445.50363424,-1743424.06165171,10.10101237311028,-11.34097015694715
113,2aMebp1,8.532873827000001,13.240449900000002,-4.7075760739999994,-1793067.2612405159,-1793075.794107898,-1793080.5016804158,R,-1792727.812129493,-1792731.3625754153,-1792719.534658274,8.277471219189465,-3.5504459221847355
114,2aMebp2,6.846128361,19.52056472,-12.67443636,-1793070.4289059478,-1793077.2750291382,-1793089.9494559201,R,-1792729.470008271,-1792740.4871837841,-1792722.583096996,6.8869112750981,-11.01717551308684
115,2aMebp3,12.15925108,23.6853451,-11.52609402,-1793063.403942693,-1793075.563184586,-1793087.089269898,R,-1792727.629524374,-1792737.56550188,-1792716.0356680902,11.593856283696368,-9.935977505985647
116,2aMebp4,9.307848027999999,24.59209629,-15.28424826,-1793063.6687514908,-1793072.976592488,-1793088.2608292012,R,-1792725.198554508,-1792738.9485317161,-1792715.8229425391,9.37561196880415,-13.749977208208293
117,2aMebp5,10.4254424,24.38439065,-13.95894825,-1793065.786594366,-1793076.212028892,-1793090.1709665968,R,-1792728.043680314,-1792740.928322611,-1792718.140960785,9.90271952887997,-12.884642296936363
118,2aMebp1,8.771954937,19.04491254,-10.2729576,-1793066.961918723,-1793075.7338670343,-1793086.006816873,S,-1792727.7230232153,-1792736.6273759252,-1792719.2271788642,8.495844351127744,-8.904352709883824
119,2aMebp2,6.940254782,20.25035824,-13.31010345,-1793070.053028057,-1793076.993277597,-1793090.3033709961,S,-1792727.979674396,-1792740.713714533,-1792722.3691164271,5.610557968961075,-12.7340401369147
120,2aMebp3,9.932847464,22.15986956,-12.2270221,-1793068.8764486823,-1793078.809288643,-1793091.036301508,S,-1792730.6528627358,-1792741.135400581,-1792720.7049625593,9.94790017651394,-10.482537845149636
121,2aMebp4,9.957947843,24.553190700000002,-14.59524286,-1793064.087299994,-1793074.0452403151,-1793088.6404721462,S,-1792726.058241838,-1792739.3143694631,-1792716.296084325,9.762157512828708,-13.25612762523815
122,2aMebp5,9.653605748,19.57453053,-9.920924784,-1793065.3454555392,-1793074.9990539951,-1793084.919971285,S,-1792726.942402019,-1792735.920800791,-1792717.201579812,9.740822206949815,-8.978398771956563
123,2abp1,8.819645657,23.10866389,-14.28901823,-1743738.3752622288,-1743747.194901224,-1743761.483908663,S,-1743434.0559875532,-1743446.659505818,-1743425.4779395228,8.57804803038016,-12.603518264833838
124,2abp2,7.166158192999999,19.91777821,-12.75162002,-1743740.898475918,-1743748.064628698,-1743760.8162390871,S,-1743435.1472257038,-1743446.362066552,-1743428.009938338,7.1372873657383025,-11.214840848231688
125,2abp3,10.19765646,21.2418232,-11.04416674,-1743740.0958919069,-1743750.2935406659,-1743761.337699066,S,-1743437.0096724161,-1743446.538396581,-1743427.0065514469,10.003120969282463,-9.528724164934829
126,2abp4,9.081317108,23.96333179,-14.88201469,-1743735.530763932,-1743744.6120741798,-1743759.494077624,S,-1743431.658275664,-1743445.077555629,-1743422.596418195,9.061857469147071,-13.419279964873567
127,2abp5,9.541909062,15.49634646,-5.954437399,-1743736.5981567411,-1743746.140058595,-1743752.0944914962,S,-1743432.908901101,-1743437.972898731,-1743423.4391627822,9.46973831881769,-5.063997630029917
128,2bbp1,8.692261234,10.17130106,-1.47903983,-1868262.9649091642,-1868271.6571638319,-1868273.1362025451,R,-1867968.353198718,-1867968.869638625,-1867959.821586354,8.531612364109606,-0.5164399070199579
129,2bbp2,6.359181008999999,15.78813837,-9.428957356,-1868266.128182033,-1868272.4873582392,-1868281.9163084729,R,-1867969.515972895,-1867977.2770042073,-1867963.151149108,6.364823787007481,-7.761031312169507
130,2bbp3,13.4657258,21.79591407,-8.330188267,-1868257.554526566,-1868271.0202421967,-1868279.350424172,R,-1867967.7376123893,-1867974.603815867,-1867954.3741807248,13.363431664416566,-6.866203477839008
131,2bbp4,9.740202055,21.082435800000003,-11.34223374,-1868258.8892382092,-1868268.629432907,-1868279.971658082,R,-1867965.447832048,-1867975.410164932,-1867955.7082648592,9.739567188778892,-9.96233288408257
132,2bbp5,10.00689358,21.89945313,-11.89255955,-1868261.131955375,-1868271.138841398,-1868283.031391966,R,-1867967.9653981559,-1867978.609205814,-1867958.01687047,9.948527685832232,-10.64380765822716
133,2bMebp1,8.670925912000001,10.54153165,-1.870605742,-1917591.534622915,-1917600.205542277,-1917602.0761466061,R,-1917262.010194236,-1917262.9389075562,-1917253.55513797,8.455056265927851,-0.9287133202888072
