reactant,product,ea kcal/mol
reactant_000116.xyz,product_000116.xyz,59.99084134
reactant_000117.xyz,product_000117.xyz,93.05069497
reactant_000118.xyz,product_000118.xyz,80.55334481
reactant_000119.xyz,product_000119.xyz,92.51591119
reactant_000120.xyz,product_000120.xyz,86.37493917
reactant_000121.xyz,product_000121.xyz,61.61746708
reactant_000122.xyz,product_000122.xyz,67.42023280
reactant_000123.xyz,product_000123.xyz,101.35746393
reactant_000124.xyz,product_000124.xyz,82.03806048
reactant_000125.xyz,product_000125.xyz,76.87825307
reactant_000126.xyz,product_000126.xyz,75.31219694
reactant_000127.xyz,product_000127.xyz,63.61237831
reactant_000128.xyz,product_000128.xyz,82.49875804
reactant_000129.xyz,product_000129.xyz,42.84797703
reactant_000130.xyz,product_000130.xyz,44.35869118
reactant_000131.xyz,product_000131.xyz,53.81828410
reactant_000132.xyz,product_000132.xyz,47.66241624
reactant_000133.xyz,product_000133.xyz,88.76261877
reactant_000134.xyz,product_000134.xyz,69.03272170
reactant_000135.xyz,product_000135.xyz,106.78003082
reactant_000136.xyz,product_000136.xyz,62.00780867
reactant_000137.xyz,product_000137.xyz,87.35877453
reactant_000138.xyz,product_000138.xyz,64.69696774
reactant_000139.xyz,product_000139.xyz,65.59581584
reactant_000140.xyz,product_000140.xyz,91.90753186
reactant_000141.xyz,product_000141.xyz,80.86025277
reactant_000142.xyz,product_000142.xyz,67.20351682
reactant_000143.xyz,product_000143.xyz,34.73094513
reactant_000144.xyz,product_000144.xyz,80.42955629
reactant_000145.xyz,product_000145.xyz,144.08072889
reactant_000146.xyz,product_000146.xyz,54.73156763
reactant_000147.xyz,product_000147.xyz,88.79669922
reactant_000148.xyz,product_000148.xyz,59.72236949
reactant_000149.xyz,product_000149.xyz,79.13262934
reactant_000150.xyz,product_000150.xyz,51.58656365
reactant_000151.xyz,product_000151.xyz,62.47606619
reactant_000152.xyz,product_000152.xyz,66.16643707
reactant_000153.xyz,product_000153.xyz,84.77184720
reactant_000154.xyz,product_000154.xyz,48.77293626
reactant_000155.xyz,product_000155.xyz,56.93556017
reactant_000156.xyz,product_000156.xyz,135.43973720
reactant_000157.xyz,product_000157.xyz,94.03540017
reactant_000158.xyz,product_000158.xyz,47.69735751
reactant_000159.xyz,product_000159.xyz,97.96221937
reactant_000160.xyz,product_000160.xyz,62.54723643
reactant_000161.xyz,product_000161.xyz,52.19926672
reactant_000162.xyz,product_000162.xyz,88.00467151
reactant_000163.xyz,product_000163.xyz,94.97438190
reactant_000164.xyz,product_000164.xyz,85.81048013
reactant_000165.xyz,product_000165.xyz,79.47017029
reactant_000166.xyz,product_000166.xyz,98.97015853
reactant_000167.xyz,product_000167.xyz,95.50299604
reactant_000168.xyz,product_000168.xyz,56.87505148
reactant_000169.xyz,product_000169.xyz,103.16035279
reactant_000170.xyz,product_000170.xyz,66.47667133
reactant_000171.xyz,product_000171.xyz,79.42185591
reactant_000172.xyz,product_000172.xyz,72.49842765
reactant_000173.xyz,product_000173.xyz,88.84585269
reactant_000174.xyz,product_000174.xyz,73.66550906
reactant_000175.xyz,product_000175.xyz,101.90880883
reactant_000176.xyz,product_000176.xyz,81.83203863
reactant_000177.xyz,product_000177.xyz,59.21448661
reactant_000178.xyz,product_000178.xyz,66.65327197
reactant_000179.xyz,product_000179.xyz,79.13989806
reactant_000180.xyz,product_000180.xyz,79.63757378
reactant_000181.xyz,product_000181.xyz,83.49253612
reactant_000182.xyz,product_000182.xyz,77.07178739
reactant_000183.xyz,product_000183.xyz,79.92671609
reactant_000184.xyz,product_000184.xyz,100.62355022
reactant_000185.xyz,product_000185.xyz,65.09141043
reactant_000186.xyz,product_000186.xyz,107.10051664
reactant_000187.xyz,product_000187.xyz,86.65933155
reactant_000188.xyz,product_000188.xyz,46.27835337
reactant_000189.xyz,product_000189.xyz,62.73614258
reactant_000190.xyz,product_000190.xyz,77.88033517
reactant_000191.xyz,product_000191.xyz,81.22606627
reactant_000192.xyz,product_000192.xyz,91.89307660
reactant_000193.xyz,product_000193.xyz,112.62011483
reactant_000194.xyz,product_000194.xyz,78.49267776
reactant_000195.xyz,product_000195.xyz,135.86539249
reactant_000196.xyz,product_000196.xyz,116.38028435
reactant_000197.xyz,product_000197.xyz,68.41286608
reactant_000198.xyz,product_000198.xyz,97.75137347
reactant_000199.xyz,product_000199.xyz,69.73942527
reactant_000200.xyz,product_000200.xyz,41.38190420
reactant_000201.xyz,product_000201.xyz,72.20569481
reactant_000202.xyz,product_000202.xyz,91.23351501
reactant_000203.xyz,product_000203.xyz,57.47492462
reactant_000204.xyz,product_000204.xyz,82.35178766
reactant_000205.xyz,product_000205.xyz,80.85506877
reactant_000206.xyz,product_000206.xyz,73.21200967
reactant_000207.xyz,product_000207.xyz,108.76061902
reactant_000208.xyz,product_000208.xyz,71.79737728
reactant_000209.xyz,product_000209.xyz,104.81939435
reactant_000210.xyz,product_000210.xyz,51.84983658
reactant_000211.xyz,product_000211.xyz,76.06676281
reactant_000212.xyz,product_000212.xyz,70.05272666
reactant_000213.xyz,product_000213.xyz,42.71088167
reactant_000214.xyz,product_000214.xyz,44.58184859
reactant_000215.xyz,product_000215.xyz,60.76804615
reactant_000216.xyz,product_000216.xyz,65.50653612
reactant_000217.xyz,product_000217.xyz,67.19224922
reactant_000218.xyz,product_000218.xyz,130.93434050
reactant_000219.xyz,product_000219.xyz,129.98624487
reactant_000220.xyz,product_000220.xyz,116.44001603
reactant_000221.xyz,product_000221.xyz,105.87189912
reactant_000222.xyz,product_000222.xyz,99.52077715
reactant_000223.xyz,product_000223.xyz,84.75998788
reactant_000224.xyz,product_000224.xyz,84.82331877
reactant_000225.xyz,product_000225.xyz,58.81900809
reactant_000226.xyz,product_000226.xyz,84.70031902
reactant_000227.xyz,product_000227.xyz,87.39507756
reactant_000228.xyz,product_000228.xyz,67.39636513
reactant_000229.xyz,product_000229.xyz,85.14548758
reactant_000230.xyz,product_000230.xyz,91.05315740
reactant_000231.xyz,product_000231.xyz,130.79460799
reactant_000232.xyz,product_000232.xyz,85.94823381
reactant_000233.xyz,product_000233.xyz,85.39735395
reactant_000234.xyz,product_000234.xyz,58.96750027
reactant_000235.xyz,product_000235.xyz,120.32165976
reactant_000236.xyz,product_000236.xyz,100.86523333
reactant_000237.xyz,product_000237.xyz,106.06387746
reactant_000238.xyz,product_000238.xyz,86.62933209
reactant_000239.xyz,product_000239.xyz,94.36033186
reactant_000240.xyz,product_000240.xyz,108.48797385
reactant_000241.xyz,product_000241.xyz,89.82006705
reactant_000242.xyz,product_000242.xyz,137.33492699
reactant_000243.xyz,product_000243.xyz,95.81083555
reactant_000244.xyz,product_000244.xyz,95.79991956
reactant_000245.xyz,product_000245.xyz,68.75763840
reactant_000246.xyz,product_000246.xyz,109.06957242
reactant_000247.xyz,product_000247.xyz,92.90680812
reactant_000248.xyz,product_000248.xyz,96.76019018
reactant_000249.xyz,product_000249.xyz,115.62576532
reactant_000250.xyz,product_000250.xyz,59.72476629
reactant_000251.xyz,product_000251.xyz,100.61075988
reactant_000252.xyz,product_000252.xyz,67.71558647
reactant_000253.xyz,product_000253.xyz,108.18707977
reactant_000254.xyz,product_000254.xyz,138.42890332
reactant_000255.xyz,product_000255.xyz,40.96056708
reactant_000256.xyz,product_000256.xyz,82.09272046
reactant_000257.xyz,product_000257.xyz,58.80687129
reactant_000258.xyz,product_000258.xyz,114.26171632
reactant_000259.xyz,product_000259.xyz,81.06524732
reactant_000260.xyz,product_000260.xyz,84.91209529
reactant_000261.xyz,product_000261.xyz,72.81249729
reactant_000262.xyz,product_000262.xyz,72.35018654
reactant_000263.xyz,product_000263.xyz,81.85776917
reactant_000264.xyz,product_000264.xyz,45.54825088
reactant_000265.xyz,product_000265.xyz,87.30456343
reactant_000266.xyz,product_000266.xyz,87.00807337
reactant_000267.xyz,product_000267.xyz,63.39301918
reactant_000268.xyz,product_000268.xyz,72.13212639
reactant_000269.xyz,product_000269.xyz,85.21269679
reactant_000270.xyz,product_000270.xyz,67.43507273
reactant_000271.xyz,product_000271.xyz,102.75107315
reactant_000272.xyz,product_000272.xyz,52.00425181
reactant_000273.xyz,product_000273.xyz,71.53025775
reactant_000274.xyz,product_000274.xyz,55.68599978
reactant_000275.xyz,product_000275.xyz,94.88697855
reactant_000276.xyz,product_000276.xyz,77.95995821
reactant_000277.xyz,product_000277.xyz,89.49779891
reactant_000278.xyz,product_000278.xyz,65.46779258
reactant_000279.xyz,product_000279.xyz,65.15989454
reactant_000280.xyz,product_000280.xyz,93.37128349
reactant_000281.xyz,product_000281.xyz,92.38689224
reactant_000282.xyz,product_000282.xyz,106.72808315
reactant_000283.xyz,product_000283.xyz,67.36671548
reactant_000284.xyz,product_000284.xyz,105.88199376
reactant_000285.xyz,product_000285.xyz,83.25611916
reactant_000286.xyz,product_000286.xyz,79.12757585
reactant_000287.xyz,product_000287.xyz,64.23679756
reactant_000288.xyz,product_000288.xyz,114.69470361
reactant_000289.xyz,product_000289.xyz,89.69160947
reactant_000290.xyz,product_000290.xyz,76.34375069
reactant_000291.xyz,product_000291.xyz,120.30781197
reactant_000292.xyz,product_000292.xyz,68.93815288
reactant_000293.xyz,product_000293.xyz,78.18317558
reactant_000294.xyz,product_000294.xyz,105.89785144
reactant_000295.xyz,product_000295.xyz,71.85725993
reactant_000296.xyz,product_000296.xyz,77.34075305
reactant_000297.xyz,product_000297.xyz,127.47965652
reactant_000298.xyz,product_000298.xyz,86.81607655
reactant_000299.xyz,product_000299.xyz,104.42330546
reactant_000300.xyz,product_000300.xyz,47.48332076
reactant_000301.xyz,product_000301.xyz,69.43420218
reactant_000302.xyz,product_000302.xyz,57.27578285
reactant_000303.xyz,product_000303.xyz,114.90383101
reactant_000304.xyz,product_000304.xyz,61.35552198
reactant_000305.xyz,product_000305.xyz,116.10770953
reactant_000306.xyz,product_000306.xyz,63.47700347
reactant_000307.xyz,product_000307.xyz,76.39479843
reactant_000308.xyz,product_000308.xyz,71.44815131
reactant_000309.xyz,product_000309.xyz,103.27953982
reactant_000310.xyz,product_000310.xyz,83.52903091
reactant_000311.xyz,product_000311.xyz,92.46993166
reactant_000312.xyz,product_000312.xyz,69.85560827
reactant_000313.xyz,product_000313.xyz,109.11612552
reactant_000314.xyz,product_000314.xyz,50.34441385
reactant_000315.xyz,product_000315.xyz,69.27367977
reactant_000316.xyz,product_000316.xyz,76.40136558
reactant_000317.xyz,product_000317.xyz,76.37824911
reactant_000318.xyz,product_000318.xyz,91.96128062
reactant_000319.xyz,product_000319.xyz,79.79124864
reactant_000320.xyz,product_000320.xyz,64.50675939
reactant_000321.xyz,product_000321.xyz,82.27648479
reactant_000322.xyz,product_000322.xyz,80.88830555
reactant_000323.xyz,product_000323.xyz,64.79975572
reactant_000324.xyz,product_000324.xyz,46.84351478
reactant_000325.xyz,product_000325.xyz,69.33858617
reactant_000326.xyz,product_000326.xyz,75.39673689
reactant_000327.xyz,product_000327.xyz,60.82792306
reactant_000328.xyz,product_000328.xyz,65.27865078
reactant_000329.xyz,product_000329.xyz,86.56814816
reactant_000330.xyz,product_000330.xyz,49.90812006
reactant_000331.xyz,product_000331.xyz,106.76994426
reactant_000332.xyz,product_000332.xyz,103.70937189
reactant_000333.xyz,product_000333.xyz,89.35012615
reactant_000334.xyz,product_000334.xyz,67.27805355
reactant_000335.xyz,product_000335.xyz,67.79837509
reactant_000336.xyz,product_000336.xyz,84.71135019
reactant_000337.xyz,product_000337.xyz,84.27908656
reactant_000338.xyz,product_000338.xyz,53.84995706
reactant_000339.xyz,product_000339.xyz,92.60927669
reactant_000340.xyz,product_000340.xyz,83.00868306
reactant_000341.xyz,product_000341.xyz,68.46422774
reactant_000342.xyz,product_000342.xyz,83.35542542
reactant_000343.xyz,product_000343.xyz,66.33706134
reactant_000344.xyz,product_000344.xyz,73.87184542
reactant_000345.xyz,product_000345.xyz,62.34240192
reactant_000346.xyz,product_000346.xyz,85.53727820
reactant_000347.xyz,product_000347.xyz,71.84494842
reactant_000348.xyz,product_000348.xyz,67.45150004
reactant_000349.xyz,product_000349.xyz,57.91069865
reactant_000350.xyz,product_000350.xyz,78.25392031
reactant_000351.xyz,product_000351.xyz,57.84168344
reactant_000352.xyz,product_000352.xyz,48.92037497
reactant_000353.xyz,product_000353.xyz,53.09871662
reactant_000354.xyz,product_000354.xyz,82.56069839
reactant_000355.xyz,product_000355.xyz,31.67894598
reactant_000356.xyz,product_000356.xyz,89.60170844
reactant_000357.xyz,product_000357.xyz,115.55417415
reactant_000358.xyz,product_000358.xyz,47.23892650
reactant_000359.xyz,product_000359.xyz,84.19718496
reactant_000360.xyz,product_000360.xyz,46.29952745
reactant_000361.xyz,product_000361.xyz,58.11529626
reactant_000362.xyz,product_000362.xyz,128.69492665
reactant_000363.xyz,product_000363.xyz,113.53531066
reactant_000364.xyz,product_000364.xyz,124.58481081
reactant_000365.xyz,product_000365.xyz,145.35983219
reactant_000366.xyz,product_000366.xyz,76.90138719
reactant_000367.xyz,product_000367.xyz,96.85624655
reactant_000368.xyz,product_000368.xyz,101.98256432
reactant_000369.xyz,product_000369.xyz,75.54396631
reactant_000370.xyz,product_000370.xyz,57.45358700
reactant_000371.xyz,product_000371.xyz,86.00219552
reactant_000372.xyz,product_000372.xyz,57.75638065
reactant_000373.xyz,product_000373.xyz,92.18994799
reactant_000374.xyz,product_000374.xyz,55.99061733
reactant_000375.xyz,product_000375.xyz,88.50389379
reactant_000376.xyz,product_000376.xyz,68.35203234
reactant_000377.xyz,product_000377.xyz,55.58581428
reactant_000378.xyz,product_000378.xyz,57.25201175
reactant_000379.xyz,product_000379.xyz,57.35504333
reactant_000380.xyz,product_000380.xyz,79.65529108
reactant_000381.xyz,product_000381.xyz,94.24672198
reactant_000382.xyz,product_000382.xyz,96.09361026
reactant_000383.xyz,product_000383.xyz,95.38673612
reactant_000384.xyz,product_000384.xyz,66.79196318
reactant_000385.xyz,product_000385.xyz,96.88665523
reactant_000386.xyz,product_000386.xyz,76.26105921
reactant_000387.xyz,product_000387.xyz,65.86910338
reactant_000388.xyz,product_000388.xyz,59.12473721
reactant_000389.xyz,product_000389.xyz,110.62292706
reactant_000390.xyz,product_000390.xyz,77.22236715
reactant_000391.xyz,product_000391.xyz,96.39486467
reactant_000392.xyz,product_000392.xyz,80.25006479
reactant_000393.xyz,product_000393.xyz,37.56623086
reactant_000394.xyz,product_000394.xyz,85.76654780
reactant_000395.xyz,product_000395.xyz,101.19488153
reactant_000396.xyz,product_000396.xyz,58.10599924
reactant_000397.xyz,product_000397.xyz,71.53596934
reactant_000398.xyz,product_000398.xyz,92.49314594
reactant_000399.xyz,product_000399.xyz,48.24544162
reactant_000400.xyz,product_000400.xyz,98.60417185
reactant_000401.xyz,product_000401.xyz,53.41989417
reactant_000402.xyz,product_000402.xyz,99.23134126
reactant_000403.xyz,product_000403.xyz,91.35138624
reactant_000404.xyz,product_000404.xyz,49.02107440
reactant_000405.xyz,product_000405.xyz,162.88616710
reactant_000406.xyz,product_000406.xyz,165.84689160
reactant_000407.xyz,product_000407.xyz,49.59679663
reactant_000408.xyz,product_000408.xyz,120.08989754
reactant_000409.xyz,product_000409.xyz,34.30971480
reactant_000410.xyz,product_000410.xyz,68.01946736
reactant_000411.xyz,product_000411.xyz,57.92444351
reactant_000412.xyz,product_000412.xyz,110.58166107
reactant_000413.xyz,product_000413.xyz,68.81883734
reactant_000414.xyz,product_000414.xyz,74.13671878
reactant_000415.xyz,product_000415.xyz,84.35626162
reactant_000416.xyz,product_000416.xyz,81.62662394
reactant_000417.xyz,product_000417.xyz,79.19870095
reactant_000418.xyz,product_000418.xyz,71.04907497
reactant_000419.xyz,product_000419.xyz,95.68244862
reactant_000420.xyz,product_000420.xyz,55.08004926
reactant_000421.xyz,product_000421.xyz,93.53225353
reactant_000422.xyz,product_000422.xyz,119.17780378
reactant_000423.xyz,product_000423.xyz,90.20730805
reactant_000424.xyz,product_000424.xyz,111.50457200
reactant_000425.xyz,product_000425.xyz,100.64060847
reactant_000426.xyz,product_000426.xyz,83.21293929
reactant_000427.xyz,product_000427.xyz,93.32635896
reactant_000428.xyz,product_000428.xyz,121.94579747
reactant_000429.xyz,product_000429.xyz,48.40943350
reactant_000430.xyz,product_000430.xyz,82.53251689
reactant_000431.xyz,product_000431.xyz,91.61798500
reactant_000432.xyz,product_000432.xyz,65.08745614
reactant_000433.xyz,product_000433.xyz,97.72857420
reactant_000434.xyz,product_000434.xyz,141.61043454
reactant_000435.xyz,product_000435.xyz,110.41274419
reactant_000436.xyz,product_000436.xyz,50.36422870
reactant_000437.xyz,product_000437.xyz,72.53352307
reactant_000438.xyz,product_000438.xyz,120.99129156
reactant_000439.xyz,product_000439.xyz,93.09065242
reactant_000440.xyz,product_000440.xyz,77.66217046
reactant_000441.xyz,product_000441.xyz,50.33361235
reactant_000442.xyz,product_000442.xyz,91.43290637
reactant_000443.xyz,product_000443.xyz,128.68274007
reactant_000444.xyz,product_000444.xyz,81.22316930
reactant_000445.xyz,product_000445.xyz,72.55466964
reactant_000446.xyz,product_000446.xyz,94.65300157
reactant_000447.xyz,product_000447.xyz,61.21022505
reactant_000448.xyz,product_000448.xyz,92.82590201
reactant_000449.xyz,product_000449.xyz,63.33158835
reactant_000450.xyz,product_000450.xyz,111.72752012
reactant_000451.xyz,product_000451.xyz,72.07592901
reactant_000452.xyz,product_000452.xyz,60.42235816
reactant_000453.xyz,product_000453.xyz,59.81956757
reactant_000454.xyz,product_000454.xyz,62.53707314
reactant_000455.xyz,product_000455.xyz,84.76822569
reactant_000456.xyz,product_000456.xyz,55.82335980
reactant_000457.xyz,product_000457.xyz,81.34903159
reactant_000458.xyz,product_000458.xyz,57.07424312
reactant_000459.xyz,product_000459.xyz,85.31240895
reactant_000460.xyz,product_000460.xyz,124.45865155
reactant_000461.xyz,product_000461.xyz,81.53366627
reactant_000462.xyz,product_000462.xyz,109.81160119
reactant_000463.xyz,product_000463.xyz,72.99336872
reactant_000464.xyz,product_000464.xyz,74.77915755
reactant_000465.xyz,product_000465.xyz,83.70349375
reactant_000466.xyz,product_000466.xyz,57.06175769
reactant_000467.xyz,product_000467.xyz,58.25956062
reactant_000468.xyz,product_000468.xyz,58.04654294
reactant_000469.xyz,product_000469.xyz,79.67942400
reactant_000470.xyz,product_000470.xyz,125.67929473
reactant_000471.xyz,product_000471.xyz,88.01424663
reactant_000472.xyz,product_000472.xyz,76.86035062
reactant_000473.xyz,product_000473.xyz,64.56677502
reactant_000474.xyz,product_000474.xyz,67.57544737
reactant_000475.xyz,product_000475.xyz,86.67556892
reactant_000476.xyz,product_000476.xyz,87.88131343
reactant_000477.xyz,product_000477.xyz,87.91678938
reactant_000478.xyz,product_000478.xyz,129.40598541
reactant_000479.xyz,product_000479.xyz,129.82670485
reactant_000480.xyz,product_000480.xyz,114.54597756
reactant_000481.xyz,product_000481.xyz,92.97840584
reactant_000482.xyz,product_000482.xyz,116.87772207
reactant_000483.xyz,product_000483.xyz,132.00528080
reactant_000484.xyz,product_000484.xyz,89.45918418
reactant_000485.xyz,product_000485.xyz,61.64638658
reactant_000486.xyz,product_000486.xyz,91.65047096
reactant_000487.xyz,product_000487.xyz,86.87216216
reactant_000488.xyz,product_000488.xyz,82.89511875
reactant_000489.xyz,product_000489.xyz,112.12951908
reactant_000490.xyz,product_000490.xyz,59.72466471
reactant_000491.xyz,product_000491.xyz,113.28682186
reactant_000492.xyz,product_000492.xyz,126.96511988
reactant_000493.xyz,product_000493.xyz,129.70727599
reactant_000494.xyz,product_000494.xyz,86.64794016
reactant_000495.xyz,product_000495.xyz,73.51096906
reactant_000496.xyz,product_000496.xyz,124.24949655
reactant_000497.xyz,product_000497.xyz,60.68739564
reactant_000498.xyz,product_000498.xyz,121.55313882
reactant_000499.xyz,product_000499.xyz,83.33512806
reactant_000500.xyz,product_000500.xyz,80.98294753
reactant_000501.xyz,product_000501.xyz,74.96905542
reactant_000502.xyz,product_000502.xyz,78.88869492
reactant_000503.xyz,product_000503.xyz,98.43894591
reactant_000504.xyz,product_000504.xyz,56.68210664
reactant_000505.xyz,product_000505.xyz,86.58469924
reactant_000506.xyz,product_000506.xyz,95.15284636
reactant_000507.xyz,product_000507.xyz,72.01448664
reactant_000508.xyz,product_000508.xyz,123.03784613
reactant_000509.xyz,product_000509.xyz,71.92817011
reactant_000510.xyz,product_000510.xyz,142.34135497
reactant_000511.xyz,product_000511.xyz,97.10893542
reactant_000512.xyz,product_000512.xyz,63.13625727
reactant_000513.xyz,product_000513.xyz,109.52450690
reactant_000514.xyz,product_000514.xyz,93.03663872
reactant_000515.xyz,product_000515.xyz,107.30277139
reactant_000516.xyz,product_000516.xyz,82.86852585
reactant_000517.xyz,product_000517.xyz,85.14470909
reactant_000518.xyz,product_000518.xyz,88.12634498
reactant_000519.xyz,product_000519.xyz,81.36921855
reactant_000520.xyz,product_000520.xyz,110.37740037
reactant_000521.xyz,product_000521.xyz,114.77196825
reactant_000522.xyz,product_000522.xyz,32.51390666
reactant_000523.xyz,product_000523.xyz,58.09545658
reactant_000524.xyz,product_000524.xyz,74.53300891
reactant_000525.xyz,product_000525.xyz,66.93426498
reactant_000526.xyz,product_000526.xyz,65.09221390
reactant_000527.xyz,product_000527.xyz,55.79802829
reactant_000528.xyz,product_000528.xyz,69.78149826
reactant_000529.xyz,product_000529.xyz,61.53942323
reactant_000530.xyz,product_000530.xyz,81.62490003
reactant_000531.xyz,product_000531.xyz,72.18737722
reactant_000532.xyz,product_000532.xyz,56.64496064
reactant_000533.xyz,product_000533.xyz,81.96804282
reactant_000534.xyz,product_000534.xyz,115.90868957
reactant_000535.xyz,product_000535.xyz,115.24233032
reactant_000536.xyz,product_000536.xyz,65.96464583
